family,type,price_basis,enter_price_for,your_price,derives_these_skus
CUSHION-1220,cushion,single,1220x2,0.7,1220x2 (pack 2); 1220x4 (pack 4)
CUSHION-16,cushion,single,16x2,0.65,16x2 (pack 2)
CUSHION-1624,cushion,single,1624x4,0.9,1624x4 (pack 4)
CUSHION-18,cushion,single,18X4,0.7,18X4 (pack 4)
CUSHION-20,cushion,single,20x4,0.8,20x4 (pack 4)
CUSHION-24,cushion,single,24x2,0.9,24x2 (pack 2)
CUSHION-26,cushion,single,26X4,1,26X4 (pack 4)
CUSHION-28,cushion,single,28x2,1.1,28x2 (pack 2)
CUSHION-D-18,cushion,single,D-18x1,2,D-18x1 (pack 1)
OTHER-6044-120,other,single,BD-6044-120,5.24,BD-6044-120 (pack 1)
OTHER-6044-135,other,single,BD-6044-135,6,BD-6044-135 (pack 1)
OTHER-6044-90,other,single,BD-6044-90,4.03,BD-6044-90 (pack 1)
OTHER-6169,other,single,6169,5.5,6169 (pack 1)
OTHER-D-Plo,other,single,D-Plo,2.7,D-Plo (pack 1)
OTHER-D-crm,other,single,D-crm,1,D-crm (pack 1)
OTHER-EC-QMP-K,other,single,EC-QMP-K,10,EC-QMP-K (pack 1)
OTHER-EC-QMP-S,other,single,EC-QMP-S,8,EC-QMP-S (pack 1)
OTHER-HF-10-S,other,single,HF-10-S,6,HF-10-S (pack 1)
OTHER-HF-13-D,other,single,HF-13-D,7,HF-13-D (pack 1)
OTHER-S-Plo,other,single,S-Plo,1.5,S-Plo (pack 1)
OTHER-S-TL,other,single,S-TL,1,S-TL (pack 1)
OTHER-S-pt-BD,other,single,S-pt-BD,1.1,S-pt-BD (pack 1)
OTHER-SD-Plo,other,single,SD-Plo,2,SD-Plo (pack 1)
OTHER-V-pu,other,single,V-pu,1,V-pu (pack 1)
OTHER-pt-BD-cvr,other,single,pt-BD-cvr,2.4,pt-BD-cvr (pack 1)
OTHER-v-gy,other,single,v-gy,1,v-gy (pack 1)
OTHER-v-plo+wt,other,single,v-plo+wt,3.7,v-plo+wt (pack 1)
OTHER-v-win,other,single,v-win,1,v-win (pack 1)
OTHER-xl-pt-BD,other,single,xl-pt-BD,4.7,xl-pt-BD (pack 1)
PILLOW-6023-pair,pillow,pair,6023-P2-Nbl,4.19,6023-P2-Nbl (pack 2)
PILLOW-6041-pair,pillow,pair,6041-P2,10.75,6041-P2 (pack 2)
PILLOW-6041-single,pillow,single,BD6041-P1,5.38,BD6041-P1 (pack 1)
PILLOW-6337-pair,pillow,pair,6337-P2,2.65,6337-P2 (pack 2); 6337-P4 (pack 4)
PILLOW-6337-single,pillow,single,BD-6337-P1,1.33,BD-6337-P1 (pack 1)
PILLOW-6340-pair,pillow,pair,6340-P2,3.72,6340-P2 (pack 2)
PILLOW-6372-pair,pillow,pair,BD-6372-P2,2.02,BD-6372-P2 (pack 2); BD-6372-P4 (pack 4); 6372-P6 (pack 6)
PILLOW-6379-pair,pillow,pair,BD-6379-P2,4.19,BD-6379-P2 (pack 2)
PILLOW-HF-pair,pillow,pair,HF-P2P,1.58,HF-P2P (pack 2); HF-P2Px2 (pack 4); HF-P2Px3 (pack 6)
TOWEL-3030,towel,single,PUR3030P1,0.5,PUR3030P1 (pack 1); CHB3030P2 (pack 2)
TOWEL-5080,towel,single,ORG5080P2,1.63,ORG5080P2 (pack 2); PUR5080P2 (pack 2); RED5080P2 (pack 2)
TOWEL-80140,towel,single,LAT80140P4,3.17,LAT80140P4 (pack 4)
TOWEL-100200,towel,single,LAT100200P1,6.25,LAT100200P1 (pack 1)
