variant_sku,canonical_sku
"12""x20""=2",1220x2
"12""x20""=4",1220x4
"16""X24""X4",1624x4
"16""X2",16x2
"18""xX4",18X4
"18""X4",18X4
"20""X4",20x4
"24""Xx2",24x2
"26""X4",26X4
"28""x2",28x2
6023-P2-Nbl,6023-P2-Nbl
6041-P2,6041-P2
V_Bamboo-pilow,6169
BD-6337=P2,6337-P2
6337--P2,6337-P2
BD-6337=P4,6337-P4
6337-P4,6337-P4
6340--P2,6340-P2
BD-6372=P6,6372-P6
BD6041-P1,BD6041-P1
BD-6044-120,BD-6044-120
BD-6044-135,BD-6044-135
BD-6044-90,BD-6044-90
BD-6337=P1,BD-6337-P1
BD6372-P2,BD-6372-P2
6372-P2,BD-6372-P2
BD_6372=P2,BD-6372-P2
BD6372-P4,BD-6372-P4
BD-6372=P4,BD-6372-P4
BD-6379-P2,BD-6379-P2
CHB3030P2,CHB3030P2
D-18x1,D-18x1
BPC=crm=4.6ft,D-crm
D_Plo,D-Plo
EC=QMP-K,EC-QMP-K
EC-QMP-S,EC-QMP-S
HF-10-S,HF-10-S
HF-13-D,HF-13-D
"19"" x 29"" x 2",HF-P2P
HF--P2Px2,HF-P2Px2
"19"" x 29"" x,4",HF-P2Px2
"19"" x 29"" x 6",HF-P2Px3
LAT80140P4,LAT80140P4
ORG5080P2,ORG5080P2
Pt=bed,pt-BD-cvr
m-pt-bd,pt-BD-cvr
pt-BD+cvr,pt-BD-cvr
PUR3030P1,PUR3030P1
PUR5080P2,PUR5080P2
RED5080P2,RED5080P2
SD_Plo,SD-Plo
S_Plo,S-Plo
S-pt-bd,S-pt-BD
S=pt=BD,S-pt-BD
S--TL,S-TL
v-gy,v-gy
v=plow+wt,v-plo+wt
V-pu,V-pu
v-win,v-win
xl=pt=BD,xl-pt-BD
XL-pet-bed,xl-pt-BD
xl-pt-BD,xl-pt-BD
